epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25593.3,1.5106,1.26765,1.37406,0.78313,0.64444,0.74975,0.41473,1.53328,1.13911,1.36671,0.0014588,0.0014588,0.0014588
43,26195,1.49451,1.24969,1.37567,0.76411,0.65161,0.7458,0.40913,1.56266,1.12894,1.38741,0.0014456,0.0014456,0.0014456
44,26801,1.52253,1.24076,1.3666,0.81422,0.61004,0.74762,0.40841,1.5617,1.11079,1.37442,0.0014324,0.0014324,0.0014324
45,27424.1,1.48943,1.23884,1.35531,0.75258,0.65591,0.74117,0.43439,1.46724,1.11864,1.32201,0.0014192,0.0014192,0.0014192
46,28034.2,1.48651,1.23239,1.36635,0.80036,0.62076,0.73485,0.42555,1.4765,1.13064,1.32822,0.001406,0.001406,0.001406
47,28640.2,1.49022,1.23953,1.36116,0.74278,0.63756,0.73219,0.4083,1.52882,1.13784,1.36477,0.0013928,0.0013928,0.0013928
48,29249.5,1.49555,1.24111,1.36447,0.78826,0.62151,0.73529,0.44288,1.39587,1.08543,1.29507,0.0013796,0.0013796,0.0013796
49,29856.9,1.4982,1.24583,1.36103,0.75611,0.64086,0.73768,0.41266,1.53944,1.12629,1.34967,0.0013664,0.0013664,0.0013664
50,30466.4,1.47791,1.22789,1.36189,0.72772,0.63011,0.70713,0.3989,1.50441,1.24373,1.34727,0.0013532,0.0013532,0.0013532
51,31065,1.46767,1.22748,1.37144,0.78062,0.65305,0.73628,0.41453,1.51359,1.11683,1.33775,0.00134,0.00134,0.00134
52,31672.8,1.48,1.22519,1.37206,0.78782,0.62581,0.73378,0.41579,1.52148,1.12754,1.33955,0.0013268,0.0013268,0.0013268
53,32280.2,1.4823,1.22774,1.37029,0.75139,0.64996,0.72497,0.42305,1.43614,1.17297,1.32137,0.0013136,0.0013136,0.0013136
54,32887.8,1.50123,1.22636,1.37133,0.79211,0.6173,0.73968,0.43255,1.4821,1.07838,1.33119,0.0013004,0.0013004,0.0013004
55,33495.9,1.47717,1.20784,1.3558,0.79439,0.61484,0.73174,0.42474,1.46945,1.12744,1.31452,0.0012872,0.0012872,0.0012872
56,34103.7,1.45333,1.19498,1.34362,0.79107,0.62968,0.74737,0.41672,1.51901,1.10448,1.32231,0.001274,0.001274,0.001274
57,34704.1,1.46242,1.1781,1.34195,0.75178,0.6638,0.75226,0.44707,1.4274,1.09267,1.28829,0.0012608,0.0012608,0.0012608
58,35311.6,1.45199,1.1915,1.33813,0.78047,0.65376,0.75765,0.45498,1.38666,1.06963,1.29493,0.0012476,0.0012476,0.0012476
59,35940.2,1.46116,1.19518,1.35355,0.75972,0.63943,0.74647,0.43066,1.48288,1.09002,1.32194,0.0012344,0.0012344,0.0012344
60,36539.9,1.45299,1.16982,1.32743,0.72542,0.68179,0.75156,0.443,1.42446,1.0847,1.3102,0.0012212,0.0012212,0.0012212
61,37137.5,1.4409,1.16824,1.34862,0.7375,0.66452,0.74812,0.43661,1.45349,1.10399,1.3149,0.001208,0.001208,0.001208
62,37736.4,1.43915,1.17205,1.33448,0.77072,0.64818,0.73513,0.40393,1.57636,1.13685,1.35768,0.0011948,0.0011948,0.0011948
63,38342.5,1.45496,1.18645,1.34724,0.75828,0.67885,0.75517,0.44869,1.44018,1.07441,1.31361,0.0011816,0.0011816,0.0011816
64,38946.4,1.42654,1.15032,1.32076,0.78267,0.64516,0.75823,0.45019,1.41974,1.04854,1.30247,0.0011684,0.0011684,0.0011684
65,39560.4,1.45381,1.2076,1.35839,0.76884,0.65878,0.75062,0.45261,1.38135,1.05667,1.30529,0.0011552,0.0011552,0.0011552
66,40166.2,1.43997,1.16815,1.33618,0.76683,0.66953,0.75602,0.43546,1.46511,1.05279,1.33565,0.001142,0.001142,0.001142
67,40772.5,1.43624,1.15296,1.32973,0.77593,0.68172,0.75576,0.44287,1.45029,1.07697,1.31429,0.0011288,0.0011288,0.0011288
68,41383,1.44107,1.17533,1.34513,0.80399,0.65161,0.75073,0.44682,1.39255,1.06261,1.28229,0.0011156,0.0011156,0.0011156
69,41983.3,1.43219,1.15144,1.32936,0.7856,0.65878,0.75652,0.44445,1.44378,1.06725,1.30456,0.0011024,0.0011024,0.0011024
70,42593.1,1.41308,1.12052,1.31043,0.7614,0.67742,0.75708,0.44568,1.47565,1.03539,1.32657,0.0010892,0.0010892,0.0010892
